dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
56.0,6,1.5561535278820306e-07,0
56.0,7,1.1712177343382605e-07,0
56.0,8,1.41716579635938e-07,0
56.0,9,7.288006294571233e-08,0
56.0,10,9.416258742324421e-08,0
56.0,11,9.17584687871573e-08,0
56.0,12,9.626418510963215e-08,0
56.0,13,7.439614554817042e-08,0
56.0,14,9.471450850389839e-08,0
56.0,15,8.676295197567947e-08,0
58.0,0,7.394034967264929e-08,0
58.0,1,8.701099517446056e-08,0
58.0,2,1.3815705718123703e-07,0
58.0,3,1.6377608997992644e-07,0
58.0,4,1.477371806725003e-07,0
58.0,5,7.527786247903857e-08,0
58.0,6,1.5709325028367167e-07,0
58.0,7,1.1738819881879301e-07,0
58.0,8,1.4420844817458535e-07,0
58.0,9,7.309785672638907e-08,0
58.0,10,9.477454294014595e-08,0
58.0,11,9.35583804498825e-08,0
58.0,12,9.798101901407581e-08,0
58.0,13,7.516994477552485e-08,0
58.0,14,9.490890263225965e-08,0
58.0,15,8.781539200046345e-08,0
60.0,0,7.410286887520038e-08,0
60.0,1,8.718462089611249e-08,0
60.0,2,1.3862954972278875e-07,0
60.0,3,1.6395029744801092e-07,0
60.0,4,1.4787177506377922e-07,0
60.0,5,7.571991124973779e-08,0
60.0,6,1.5765535459338404e-07,0
60.0,7,1.1748040641009818e-07,0
60.0,8,1.4581721898049004e-07,0
60.0,9,7.334586611185887e-08,0
60.0,10,9.484274720891965e-08,0
60.0,11,9.403352905379701e-08,0
60.0,12,9.868699388996732e-08,0
60.0,13,7.548913084196068e-08,0
60.0,14,9.492434205454206e-08,0
60.0,15,9.020187798124153e-08,0
62.0,0,7.61011871794449e-08,0
62.0,1,8.783422680485614e-08,0
62.0,2,1.4044845270439857e-07,0
62.0,3,1.649217082568098e-07,0
62.0,4,1.489946732440825e-07,0
62.0,5,7.936146347261967e-08,0
62.0,6,1.5918302105557944e-07,0
62.0,7,1.1779488536677355e-07,0
62.0,8,1.4683882040363718e-07,0
62.0,9,7.38464002158321e-08,0
62.0,10,9.499579786875883e-08,0
62.0,11,9.555321512442418e-08,0
62.0,12,1.026386210319241e-07,0
62.0,13,7.634882103943994e-08,0
62.0,14,9.51131307175748e-08,0
62.0,15,9.0440963732804e-08,0
64.0,0,7.931569159689947e-08,0
64.0,1,8.842467189072341e-08,0
64.0,2,1.4117227366402282e-07,0
64.0,3,1.6560878458357817e-07,0
64.0,4,1.498582203554207e-07,0
64.0,5,8.18431354285911e-08,0
64.0,6,1.6058577874286607e-07,0
64.0,7,1.1808493259270092e-07,0
64.0,8,1.4753398250158924e-07,0
64.0,9,7.468543557012771e-08,0
64.0,10,9.502584852743912e-08,0
64.0,11,9.669271541359384e-08,0
64.0,12,1.0404521519653368e-07,0
64.0,13,7.727283790144585e-08,0
64.0,14,9.528330508865211e-08,0
64.0,15,8.85595662013152e-08,0
66.0,0,8.209958228499228e-08,0
66.0,1,8.941483795313997e-08,0
66.0,2,1.4297636043631467e-07,0
66.0,3,1.666954200407057e-07,0
66.0,4,1.517056464045116e-07,0
66.0,5,8.284123095332184e-08,0
66.0,6,1.6240160375046552e-07,0
66.0,7,1.195695589541172e-07,0
66.0,8,1.490046488577985e-07,0
66.0,9,7.773955756307722e-08,0
66.0,10,9.504349657684115e-08,0
66.0,11,9.76712875162883e-08,0
66.0,12,1.0538527943686847e-07,0
66.0,13,7.85864470353187e-08,0
66.0,14,9.562163478338517e-08,0
66.0,15,9.205551592152666e-08,0
68.0,0,8.261885647900085e-08,0
68.0,1,9.028745589149151e-08,0
68.0,2,1.4512036362992124e-07,0
68.0,3,1.6765223618535657e-07,0
68.0,4,1.5288213155841307e-07,0
68.0,5,8.315525523091184e-08,0
68.0,6,1.6452961716100526e-07,0
68.0,7,1.21224035028208e-07,0
68.0,8,1.501359927749859e-07,0
68.0,9,8.026379808124247e-08,0
68.0,10,9.527498301768297e-08,0
68.0,11,9.795253216944267e-08,0
68.0,12,1.0556594609564798e-07,0
68.0,13,7.915572356185696e-08,0
68.0,14,9.634898965986856e-08,0
68.0,15,9.498341851326542e-08,0
70.0,0,8.365198859074556e-08,0
70.0,1,9.182489379193029e-08,0
70.0,2,1.4694521128349803e-07,0
70.0,3,1.7384708760690427e-07,0
70.0,4,1.5696588748177097e-07,0
70.0,5,8.369736690473714e-08,0
70.0,6,1.664665576662643e-07,0
70.0,7,1.2506008759873824e-07,0
70.0,8,1.5267633282572747e-07,0
70.0,9,8.21176688288716e-08,0
70.0,10,9.60560897923738e-08,0
70.0,11,9.878098925774243e-08,0
70.0,12,1.0605330209279724e-07,0
70.0,13,8.028398155064103e-08,0
70.0,14,9.827807716218014e-08,0
70.0,15,9.324116790792391e-08,0
72.00000000000001,0,8.378260477773514e-08,0
72.00000000000001,1,9.374989922058544e-08,0
72.00000000000001,2,1.4833058245020465e-07,0
72.00000000000001,3,1.7562227679741172e-07,0
72.00000000000001,4,1.5857155293194868e-07,0
72.00000000000001,5,8.38525491562421e-08,0
72.00000000000001,6,1.6809062727412214e-07,0
72.00000000000001,7,1.2743563880818938e-07,0
72.00000000000001,8,1.55514106231765e-07,0
72.00000000000001,9,8.321316980275975e-08,0
72.00000000000001,10,9.727043394857078e-08,0
72.00000000000001,11,9.919941638721477e-08,0
72.00000000000001,12,1.062347710119481e-07,0
72.00000000000001,13,8.133000081427807e-08,0
72.00000000000001,14,1.0192309850929274e-07,0
72.00000000000001,15,9.405845575079391e-08,0
74.0,0,8.383117183332147e-08,0
74.0,1,9.486725437874109e-08,0
74.0,2,1.496608788737992e-07,0
74.0,3,1.759560915045686e-07,0
74.0,4,1.5955942210873502e-07,0
74.0,5,8.394930209757625e-08,0
74.0,6,1.6995669453982778e-07,0
74.0,7,1.2816652790062056e-07,0
74.0,8,1.5778569901380097e-07,0
74.0,9,8.361618995508063e-08,0
74.0,10,9.962412827589269e-08,0
74.0,11,9.974040057531957e-08,0
74.0,12,1.0644615267889625e-07,0
74.0,13,8.203047602601779e-08,0
74.0,14,1.0402831283557846e-07,0
74.0,15,9.80194181917716e-08,0
76.0,0,8.392209194023135e-08,0
76.0,1,9.610334711807607e-08,0
76.0,2,1.512701904504146e-07,0
76.0,3,1.7695037937330066e-07,0
76.0,4,1.608248891509464e-07,0
76.0,5,8.412929024256634e-08,0
76.0,6,1.7190823360853648e-07,0
76.0,7,1.2859020657779402e-07,0
76.0,8,1.5879768466585046e-07,0
76.0,9,8.379325130727274e-08,0
76.0,10,1.0309484716173995e-07,0
76.0,11,1.0043602727933535e-07,0
76.0,12,1.0695177984754634e-07,0
76.0,13,8.30032489607065e-08,0
76.0,14,1.0520191072831974e-07,0
76.0,15,9.907722421204856e-08,0
78.0,0,8.403779845262369e-08,0
78.0,1,9.735018171273123e-08,0
78.0,2,1.5341988196805842e-07,0
78.0,3,1.8123520454922026e-07,0
78.0,4,1.6285196903068957e-07,0
78.0,5,8.456172025470502e-08,0
78.0,6,1.7468624950984272e-07,0
78.0,7,1.2895565797217347e-07,0
78.0,8,1.6042823916156897e-07,0
78.0,9,8.394619891045441e-08,0
78.0,10,1.0544423192543555e-07,0
78.0,11,1.0430915357922054e-07,0
78.0,12,1.0888362609767796e-07,0
78.0,13,8.393573620897649e-08,0
78.0,14,1.0602248822449791e-07,0
78.0,15,9.740970714334e-08,0
80.0,0,8.43088895598135e-08,0
80.0,1,9.863410364362281e-08,0
80.0,2,1.5640780926298216e-07,0
80.0,3,1.8578051813060214e-07,0
80.0,4,1.67247720771632e-07,0
80.0,5,8.538447072736578e-08,0
80.0,6,1.7768140159671405e-07,0
80.0,7,1.3035386331519296e-07,0
80.0,8,1.6392655751717208e-07,0
80.0,9,8.428431024945854e-08,0
80.0,10,1.0608971893248282e-07,0
80.0,11,1.0676642283192356e-07,0
80.0,12,1.1427518704923888e-07,0
80.0,13,8.556172755283679e-08,0
80.0,14,1.0630057533661109e-07,0
80.0,15,9.960376874133679e-08,0
82.0,0,8.463397076128237e-08,0
82.0,1,9.919197548189068e-08,0
82.0,2,1.5837849353586595e-07,0
82.0,3,1.8673894524290928e-07,0
82.0,4,1.68856721305188e-07,0
82.0,5,8.614214003745865e-08,0
82.0,6,1.7977986539098308e-07,0
82.0,7,1.3307842383978732e-07,0
82.0,8,1.6640072532560933e-07,0
82.0,9,8.45528039899602e-08,0
82.0,10,1.0623460625416065e-07,0
82.0,11,1.0790153529009052e-07,0
82.0,12,1.1542560082833736e-07,0
82.0,13,8.613292151091847e-08,0
82.0,14,1.067319044930312e-07,0
82.0,15,1.0401484749268685e-07,0
84.0,0,8.74635906105896e-08,0
84.0,1,1.010763160099567e-07,0
84.0,2,1.6099689437998486e-07,0
84.0,3,1.8916020538631398e-07,0
84.0,4,1.7154619667874152e-07,0
84.0,5,9.152834825331708e-08,0
84.0,6,1.8244281907327827e-07,0
84.0,7,1.3819545120557595e-07,0
84.0,8,1.6981500681265425e-07,0
84.0,9,8.632073842424393e-08,0
84.0,10,1.0684740787443848e-07,0
84.0,11,1.0964481840166048e-07,0
84.0,12,1.1695534827100128e-07,0
84.0,13,8.817797476882656e-08,0
84.0,14,1.0850281981245657e-07,0
84.0,15,1.0325872846667278e-07,0
86.0,0,9.264785018483316e-08,0
86.0,1,1.0389278103006099e-07,0
86.0,2,1.634049675865231e-07,0
86.0,3,1.952597942556903e-07,0
86.0,4,1.738712251595291e-07,0
